gene_name,num_cell_types
F11R,1
EZR,1
IGKC,1
EZI,1
EXOSC8,1
IGKC2,1
EVER2,1
IGLC22,1
IGSF6,1
IKZF2,1
ETV6,1
IGF1R,1
ETS2,1
GIMAP7,1
FAM160A1,1
FBXO18,1
IER3,1
FAU5,1
FASLG,1
IFI16,1
GNG10,1
HPGD,1
FAP,1
GNA15,1
IFIH1,1
IFIT1,1
GMPR,1
FANCD2,1
FAM49B,1
GMPPB,1
GMFB,1
GM2A,1
FAM46C,1
FAM46A,1
IFNGR1,1
FAM29A,1
FAM26F,1
GLTSCR2,1
FAM210B,1
GIMAP4,1
IFNGR2,1
GLRX,1
FAM160A2,1
IFNLR1,1
HPR,1
FUS,1
GRINA,1
HINT1,1
HIP1,1
FLJ40432,1
FLJ40614,1
FLJ42627,1
FLJ43842,1
GALNT2,1
HIGD1A,1
HK1,1
FLJ90005,1
FLN29,1
GABARAPL2,1
HIAN2,1
FLNB,1
HGLF,1
GAMT,1
FLJ39873,1
HERPUD1,1
GAS5,1
HLA-B,1
FLJ32028,1
FLJ32255,1
H2AFX,1
H6PD,1
FLJ32704,1
GAPT,1
GAPDH,1
FLJ35936,1
FLJ36837,1
HAMP,1
FLJ38725,1
HAPLN3,1
FLJ39739,1
HGFL,1
HEMGN,1
FLJ31413,1
FPR3,1
FOXP1,1
HBM,1
FOXRED2,1
FXN,1
FUT7,1
HBD,1
FRAT1,1
FZD3,1
FRAT2,1
FSCN1,1
FTH1,1
FUT11,1
FTHFSDC1,1
FTL,1
HCAR3,1
FOXO1,1
GAB3,1
HEG1,1
FLT1,1
FLT3,1
HELLS,1
HELIOS-3,1
FMNL3,1
FNBP1,1
HDGFL3,1
FOXA2,1
FNBP2,1
FNDC3B,1
FOLH1,1
GAB1,1
FOLR3,1
FOSB,1
FLJ31978,1
FLJ31364,1
FKBP5,1
HLX,1
FLJ11151,1
GRSF1,1
FLJ11663,1
FLJ12643,1
HMG20B,1
FLJ12994,1
HLA-E,1
FLJ11029,1
HLA-DRB5,1
HLA-DRB4,1
FLJ13052,1
FLJ13089,1
HLA-DRB3,1
GSN,1
HMGB1,1
FLJ10874,1
FLJ14153,1
GRK2,1
HPD,1
FKSG79,1
HP,1
FLJ00012,1
HOZFP,1
FLJ10116,1
HNRNPA1L2,1
FLJ10702,1
FLJ10298,1
FUCA1,1
FLJ10357,1
HNMT,1
HMMR,1
HMGN2,1
GSTA1,1
GSTA2,1
FLJ31033,1
GAS6,1
FLJ22368,1
FLJ22457,1
GATA1,1
FLJ22625,1
GZMB1,1
FLJ22662,1
GK5,1
GYPA,1
HLA-DOB,1
FLJ23230,1
HLA-DMA3,1
FLJ23235,1
HLA-DMA,1
FLJ25348,1
FLJ22329,1
FLJ21438,1
FLJ20202,1
FLJ20273,1
HLA-DRA12,1
GSTM4,1
GTPBP4,1
GBP1,1
HLA-DQ-ALPHA,1
HLA-DPB2,1
GATM,1
GVINP1,1
FLJ20481,1
FLJ20686,1
GATA5,1
FLJ20701,1
HLA-DPA111,1
FLJ20847,1
